video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=24Z2zSBlrBM&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@LASportsReel,Los Angeles Sports & Entertainment Commission,Introducing LASEC Business Connect 2.0 | Los Angeles Sports & Entertainment Commission,306,11 months,The Los Angeles Sports & Entertainment Commission (LASEC) Business Connect Program is building LA's future through the ...,2026-01-22 07:21:32.617547
/watch?v=kldDmIC8WRY&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@unprofessionalwrestling,Lou Gregory,WWF at The Los Angeles Sports Arena (July 15th 1988),139K,4 years,Improved version: Rick Rude's theme restored.,2026-01-22 07:21:32.618586
/watch?v=1W8BJBI1Cyc&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@laidea6664,Laidea,Los Angeles Sports Arena Memorial - Drone view,2K,9 years,Unforgettable times here at the LA sports arena. Drone video a few months before it was demolished. Music - You & Me by ...,2026-01-22 07:21:39.556106
/watch?v=B40E8IneK3I&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz0gcJCYcKAYcqIYzv,/@LASportsReel,Los Angeles Sports & Entertainment Commission,This is LA Sports & Entertainment | Los Angeles Sports & Entertainment Commission,704,5 years,"Welcome to the premier destination in Sports & Entertainment! LASEC is a non-profit organization officially designated to attract, ...",2026-01-22 07:21:39.557244
/watch?v=tttPwAY5QAU&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@LASportsReel,Los Angeles Sports & Entertainment Commission,Eric Yoo - ChampionLA | Los Angeles Sports & Entertainment Commission,86,4 years,"Eric Yoo - ChampionLA | Los Angeles Sports & Entertainment Commission About ChampionLA: Founded in 2019, ChampionLA is ...",2026-01-22 07:21:39.579814
/watch?v=V-WvumMP9F4&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@losangelessports6525,LosAngelesSports,Getting to know LosAngelesSports(First Ever Video),10,12 years,via YouTube Capture.,2026-01-22 07:21:39.588175
/watch?v=R7MctYuWyOY&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@sportsplugtv4323,Sports Plug TV,A Look at All of Los Angeles' Sports Championships,672,3 years,"Sports #Athlete #LosAngeles #LA ""A Look at All of Los Angeles' Sports Championships"" Check out this out! Don't forget to HIT the ...",2026-01-22 07:21:39.596143
/watch?v=BxiJQ6L8Czc&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@LAprosportsfan,L.A. Pro Sports Fan,Get the BEST Los Angeles Sports Report in Just 10 Minutes or Less!,66,1 year,"In this video, you get a 10-minute update on Los Angeles sports news -- Lakers, Dodgers, Clippers, Kings, Chargers, Angels, ...",2026-01-22 07:21:39.598022
/watch?v=kksea-Zs4cY&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@LASportsReel,Los Angeles Sports & Entertainment Commission,2017 U.S. Amateur Championship - Eddie Merrins PSA | Los Angeles Sports & Entertainment Commission,243,8 years,Join Eddie Merrins and watch as the best athletes in amateur golf compete at the 117th U.S. Amateur Championship August ...,2026-01-22 07:21:39.611027
/watch?v=4SDCMtw40Nw&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@losangelessportscouncil1862,Los Angeles Sports Council,The 2022 Los Angeles Sports Moment of the Year Presented by Jim Beam | 18th Annual LA Sports Awards,31,2 years,A distinguished media panel is responsible for selecting the Executive of the Year as well as determining greatest moments of the ...,2026-01-22 07:21:46.213831
/watch?v=P_8PtmjRC1w&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@LAprosportsfan,L.A. Pro Sports Fan,Ty's Los Angeles Sports Report!,52,1 year,"Ty is autistic and loves sports! He gives a weekly update on Los Angeles pro teams including Dodgers, Lakers, Kings, Rams, ...",2026-01-22 07:21:46.214889
/watch?v=nuKGBWM_PxE&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@TheSportsGauntlet,The Sports Gauntlet ,I Put EVERY Los Angeles Sports Team Into One Tournament!,33K,2 years,What Los Angeles sports team is the BEST In all of sports? If you enjoyed this video please make sure to give the video a like!,2026-01-22 07:21:46.216214
/watch?v=gHxhS6S6E5w&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@whistlesports,Whistle,Every Fan In 90 Seconds | Los Angeles Sports,16K,8 years,"Every Fan You Know...Los Angeles Edition! Sound familiar, Lakers, Clippers, Dodgers, Angels, and Kings fans? COMMENT with ...",2026-01-22 07:21:46.218410
/watch?v=oQpP9TwWCT0&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@%E0%B8%AA%E0%B8%B8%E0%B8%A0%E0%B8%B2%E0%B8%A7%E0%B8%94%E0%B8%B5%E0%B8%A7%E0%B8%87%E0%B8%A8%E0%B9%8C%E0%B8%A0%E0%B8%B2%E0%B8%84%E0%B9%8D%E0%B8%B2,สุภาวดี วงศ์ภาคํา,Pretty Charlie Brown Fist Bump Snoopy Los Angeles Sports Rams X Dodgers T-Shirt,No,20 hours,This stylish and eye-catching t-shirt features a fun and nostalgic design that combines beloved characters Charlie Brown and ...,2026-01-22 07:21:46.219481
/watch?v=uIxTBcRaYlo&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@LAprosportsfan,L.A. Pro Sports Fan,The HOT 10-Minute Los Angeles Sports Report!,72,1 year,"In this video, you get a 10-minute update on Los Angeles sports news -- Lakers, Dodgers, Clippers, Kings, Chargers, Angels, ...",2026-01-22 07:21:46.223189
/watch?v=I6faP7eKiwI&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@LASportsReel,Los Angeles Sports & Entertainment Commission,SAVE THE DATE! 11th Annual Dodgers All-Access | Los Angeles Sports & Entertainment Commission,74,7 months,The 11th Annual Dodgers All-Access event is returning on August 28! We are excited to bring back this beloved ...,2026-01-22 07:21:46.224359
/watch?v=M6EpQJqaupg&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@espn,ESPN,O'Shea Jackson Jr. is feeling good as a Los Angeles sports fan 😎 | The Rich Eisen Show,22K,2 months,"Actor O'Shea Jackson Jr. joins The Rich Eisen Show to talk NFL, NBA and more. 0:00 LeBron fitting right in 4:48 Los Angeles ...",2026-01-22 07:21:46.227404
/watch?v=gqne_YRrp2Y&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@LASportsReel,Los Angeles Sports & Entertainment Commission,LASEC Business Connect Networking Event | Los Angeles Sports & Entertainment Commission,114,1 year,"On July 23, we hosted 53 of companies for a LASEC Business Connect networking event. We had the privilege of discussing the ...",2026-01-22 07:21:46.228502
