video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=RzossvWAw6Q&pp=ygUQdmFuY291dmVyX3Nwb3J0cw%3D%3D,/@vancouversun674,Vancouver Sun,Chapman: Whitecaps have window to steal Vancouver sports spotlight,5,7 years,Paul Chapman says the Whitecaps can gain more ground in the Vancouver sports scene with a winning performance.,2026-01-22 07:17:55.939410
/watch?v=tK-5_-IHz2U&pp=ygUQdmFuY291dmVyX3Nwb3J0cw%3D%3D,/@vancouversun674,Vancouver Sun,Top Five Vancouver Sports stories of 2014,17,7 years,Province Sports editor Jonathan McDonald touches on the five most important sports stories from Vancouver for 2014.,2026-01-22 07:17:55.944553
/watch?v=aVgM_aW7CuE&pp=ygUQdmFuY291dmVyX3Nwb3J0cw%3D%3D,/@vancouversun674,Vancouver Sun,"Sports in 60 seconds: Vancouver sports fans, are they mind-numbingly boring?",17,7 years,Jon and Paul tackle the thorny issue of how Vancouver-centric Vancouver sports fans really are.,2026-01-22 07:17:55.950121
/shorts/F5BfiaRab4A,/@ualocal170,UA Local 170,Don Taylor: Vancouver Sports Legend's Broadcasting Journey #shorts,352,2 months,"From aspiring commercial artist to the voice of BC sports, Don Taylor's journey began with a diploma from the Columbia School of ...",2026-01-22 07:17:55.954746
/watch?v=xI1b1rfe-7E&pp=ygUQdmFuY291dmVyX3Nwb3J0cw%3D%3D,/@DoodleHockey,Doodle Hockey,Vancouver Goldeneyes is changing Vancouver Sports | Interview with Lachlan Irvine!,130,1 month,Myself and Zachlan Irvine breakdown the Vancouver Goldeneyes first couple games! And the buzz in Vancouver! Are they the ...,2026-01-22 07:17:55.957374
/watch?v=mkzhf3V_XBI&pp=ygUQdmFuY291dmVyX3Nwb3J0cw%3D%3D,/@vanwarriors,Vancouver Warriors,CAN Vancouver Sports Day Video,225,5 years,"Missing Canucks Autism Network Sports Day this year, but honoured to unite with other Vancouver Sports Teams and Athletes to ...",2026-01-22 07:17:55.965326
/watch?v=V5axvfLWoSM&pp=ygUQdmFuY291dmVyX3Nwb3J0cw%3D%3D,/@iVanc0uv3r604,iVanc0uv3r604,Best Sports Bar Vancouver - Sports Bar & Grill Restaurants,426,15 years,http://bestsportsbarsvancouver.com - Looking for the Best Sports Bar in Vancouver BC? It's Here. Your Perfect Place to Watch the ...,2026-01-22 07:17:55.966736
/shorts/f4vU81S8Wj8,/@TrendyTubeUpdates,Bestskinever,Cowboys vs. Giants #nfl #vancouver #sports #entertainment #football,6,1 year,Cowboys vs.Giants.,2026-01-22 07:17:55.973071
/shorts/EcImhT3FUM8,/@10MinMoments,10MinMoments,#newzealand TRY v #usa LIVE! RugbySevens #vancouver #hsbcsvns #rugby7s #live #vansvns #rugby #shorts,668,10 months,"Vancouver Sevens - New Zealand v USA Women's rugby - Saturday February 22, 2025 @ #bcplace The 2025 HSBC SVNS ...",2026-01-22 07:17:55.977200
/watch?v=o5riXX-IKm4&pp=ygUQdmFuY291dmVyX3Nwb3J0cw%3D%3D,/@citytv,Citytv,BT Vancouver: Sports Day Fight,2.2K,12 years,"It's the best day of the school year for many children, but at one Sports Day, fun and sportsmanship were sadly lacking among ...",2026-01-22 07:17:55.979024
/watch?v=cJKqQYd2P_s&pp=ygUQdmFuY291dmVyX3Nwb3J0c9IHCQmHCgGHKiGM7w%3D%3D,/@bridgechurchkits,bridgechurchkits,Vancouver Sports Camp - Warm Up June 21st,299,17 years,http://www.bridgechurch.ca/sport Our first sports camp warm up day was this Saturday June the 21st. We had a ton of fun. A small ...,2026-01-22 07:17:55.980745
/watch?v=yqpfBbfXxt4&pp=ygUQdmFuY291dmVyX3Nwb3J0cw%3D%3D,/@ToddcastPodcast,Toddcast Podcast,Stop Me… ep183 - City News Vancouver sports anchor Marcus Fitzgerald talks career highlight (Nov ...,3,1 month,City News Vancouver sports anchor Marcus Fitzgerald talks about his career highlight! Learn more about your ad choices.,2026-01-22 07:17:55.982673
/shorts/AA9oWwx0ZbA,/@sydneycristall,Sydney Cristall,"do you wanna work for the Vancouver Canucks? If so, the content team is hiring a video editor",159,4 months,"do you wanna work for the Vancouver Canucks? If so, the content team is hiring a video editor. Hockey season is right around the ...",2026-01-22 07:17:55.990298
/watch?v=4ooRLyuE78U&pp=ygUQdmFuY291dmVyX3Nwb3J0cw%3D%3D,/@citytv,Citytv,BT Vancouver: Sports In Costume,13,12 years,BT Vancouver: Sports In Costume.,2026-01-22 07:17:55.993258
/shorts/EXeHWSFfo34,/@VictoryAscentBLT,Victory Ascent,2025 Canadian Championship BC Place #championship #champion #bc #canada #vancouver #soccer #football,880,3 months,2025 Canadian Championship at BC Place featuring Vancouver Whitecaps and Vancouver FC. Vancouver Whitecaps won the ...,2026-01-22 07:18:05.749191
/shorts/QenXVcTvPCU,/@nuckingaround,nuckhead,"Thank you, Luongo! #Canucks #NHL #Hockey",14K,2 years,In this video I talk about the Vancouver Canucks game against the Florida #Panthers where the #Canucks honoured the best ...,2026-01-22 07:18:05.754880
/shorts/lNvVRc2zAyM,/@3rdeyelucidflow,3rd EYE LUCID FLOW,⚽CANADIAN CHAMPIONSHIP: THOMAS MÜLLER,1K,3 months,"THE 2025 TELUS CANADIAN CHAMPIONSHIP FINAL is scheduled for Wednesday, October 1, 2025, at BC Place Stadium.",2026-01-22 07:18:05.756441
/shorts/MgOPCWnLSOk,/@SekeresPrice,Sekeres & Price,FInal Canucks Army Watch Party of the season!  Join us at Greta!!!,380,9 months,"It's time for a Canucks Army watch party at Greta. Come join the crew from @CanucksArmy , @sekeresandprice and ...",2026-01-22 07:18:05.759781
/shorts/LgcxQaemUg4,/@nuckingaround,nuckhead,This game has no business being this stressful! #Canucks #Blackhawks #NHL,3K,2 years,The #Canucks eventually took over the game but the last place #Blackhawks had them on their heels for the first half. #Hockey ...,2026-01-22 07:18:05.761001
/watch?v=KGGTuu28GSs&pp=ygUQdmFuY291dmVyX3Nwb3J0cw%3D%3D,/@rightrouteTV,UNREALIUM Right Route TV,Join the First EUC SCHOOL in Vancouver,1.9K,2 years,"Book your first lesson for free and test your abilities  ! To do this, select a date convenient for you and fill out the form ...",2026-01-22 07:18:05.763141
/watch?v=XaVCSAY2_Q0&pp=ygUQdmFuY291dmVyX3Nwb3J0cw%3D%3D,/@wecantalkshow883,We CAN Talk Show,We CAN Talk Ep. 6 - Vancouver Sports Special,3,4 years,"Welcome back! Sorry for the time since our last upload. We come back to you to talk about the CANucks, team CANada soccer, ...",2026-01-22 07:18:05.764205
/shorts/VJkVVbgbASc,/@10MinMoments,10MinMoments,#ireland TRY v #newzealand LIVE! RugbySevens! #hsbcsvns #rugby7s #live #vansvns #rugby #shorts,1K,10 months,"Vancouver Sevens - New Zealand v Ireland men's rugby - Saturday February 22, 2025 @ #bcplace The 2025 HSBC SVNS ...",2026-01-22 07:18:05.769195
/shorts/lfMFj6bvXYY,/@eyedilfilms,Eyedil Films,"Breathtaking Snowbaoring View, Extreme Snowbaoring #snowboarding #exterme #downhill #redbull",873,1 year,"Dive into the adrenaline-pumping world of extreme snowboarding in the breathtaking landscapes of Vancouver, Canada.",2026-01-22 07:18:05.772444
